time,latitude,longitude,sic
UTC,degrees_north,degrees_east,1
2022-09-16T12:00:00Z,89.5,203.5,0.94
2022-09-16T12:00:00Z,89.5,204.5,0.94
2022-09-16T12:00:00Z,89.5,205.5,0.94
2022-09-16T12:00:00Z,89.5,206.5,0.94
2022-09-16T12:00:00Z,89.5,207.5,0.95
2022-09-16T12:00:00Z,89.5,208.5,0.95
2022-09-16T12:00:00Z,89.5,209.5,0.95
2022-09-16T12:00:00Z,89.5,210.5,0.95
2022-09-16T12:00:00Z,89.5,211.5,0.95
2022-09-16T12:00:00Z,89.5,212.5,0.95
2022-09-16T12:00:00Z,89.5,213.5,0.95
2022-09-16T12:00:00Z,89.5,214.5,0.95
2022-09-16T12:00:00Z,89.5,215.5,0.95
2022-09-16T12:00:00Z,89.5,216.5,0.95
2022-09-16T12:00:00Z,89.5,217.5,0.95
2022-09-16T12:00:00Z,89.5,218.5,0.95
2022-09-16T12:00:00Z,89.5,219.5,0.95
2022-09-16T12:00:00Z,89.5,220.5,0.95
2022-09-16T12:00:00Z,89.5,221.5,0.95
2022-09-16T12:00:00Z,89.5,222.5,0.95
2022-09-16T12:00:00Z,89.5,223.5,0.95
2022-09-16T12:00:00Z,89.5,224.5,0.95
2022-09-16T12:00:00Z,89.5,225.5,0.95
2022-09-16T12:00:00Z,89.5,226.5,0.95
2022-09-16T12:00:00Z,89.5,227.5,0.95
2022-09-16T12:00:00Z,89.5,228.5,0.94
2022-09-16T12:00:00Z,89.5,229.5,0.95
2022-09-16T12:00:00Z,89.5,230.5,0.95
2022-09-16T12:00:00Z,89.5,231.5,0.95
2022-09-16T12:00:00Z,89.5,232.5,0.95
2022-09-16T12:00:00Z,89.5,233.5,0.95
2022-09-16T12:00:00Z,89.5,234.5,0.95
2022-09-16T12:00:00Z,89.5,235.5,0.95
2022-09-16T12:00:00Z,89.5,236.5,0.95
2022-09-16T12:00:00Z,89.5,237.5,0.95
2022-09-16T12:00:00Z,89.5,238.5,0.95
2022-09-16T12:00:00Z,89.5,239.5,0.95
2022-09-16T12:00:00Z,89.5,240.5,0.95
2022-09-16T12:00:00Z,89.5,241.5,0.95
2022-09-16T12:00:00Z,89.5,242.5,0.95
2022-09-16T12:00:00Z,89.5,243.5,0.95
2022-09-16T12:00:00Z,89.5,244.5,0.95
2022-09-16T12:00:00Z,89.5,245.5,0.95
2022-09-16T12:00:00Z,89.5,246.5,0.95
2022-09-16T12:00:00Z,89.5,247.5,0.95
2022-09-16T12:00:00Z,89.5,248.5,0.95
2022-09-16T12:00:00Z,89.5,249.5,0.95
2022-09-16T12:00:00Z,89.5,250.5,0.95
